Unique ID,Post,Labels Set
18,"Former Prime Minister Dr. Manmohan Singh reached 10 Rajaji Marg and paid tribute to former President Pranab Mukherjee

#PranabMukherjee https://t.co/egBXvOgC1w",non-hostile
19,"@Harbhajan_singh to leave IPL? @ChennaiIPL official gives update

https://t.co/9zFnEXdtAk

#HarbhajanSingh # IPL2020 https://t.co/z9Dpaffw3I",non-hostile
20,"#Saharanpur arrested under extortion under checking, police arrested 2 vicious miscreants, Scooty, 2 pistols, mobile recovered, police arrested by country police. @saharanpurpol @digsaharanpur @Uppolice #policemedianews",non-hostile
21,"Professor #Tasuku_Honzo, who won Japan's Nobel Prize and worked in China for 4 years, claims that corona is a natural, not artificial, virus that China has created.",fake
22,"In Delhi, terrorists were caught in a jihadi ghee box carrying illegal weapons to carry out mass murders of Hindus and Sikhs.","fake, hate"
23,"There is unity in the dog too, there is opposition in thoughts, but still there is unity in the journalist, not till today, on the news channel, Ashutosh sir was told by Gaurav Bhatia, I will slap you both ears.",offensive
24,"Pranab Mukherjee rejected 28 mercy petitions involving 37 applicants. Pratibha Patil, who was the President before Pranab, saved the maximum number of 30 people from the gallows. Pranab waived the death sentence of only seven.
https://t.co/1G44U1OR4R",non-hostile
25,"China redeploys its J-20 fighter aircraft close to Ladakh, constantly flying -
#IndiaChinaFaceOff

https://t.co/2VfWAZenTi",non-hostile
26,. May you be my life even now.,"hate, offensive"
27,Home minister Amit Shah is suffering from bone cancer,fake
28,"On Twitter, you will find many pussies, who will meet opposing Hindus ... they have their own
fake id, now look at the same Chaman pussy, Pistol is named Pandey and is engaged in opposing Hindus.
Somebody will have a pony for hire, but only 100 will be able to get 50 to protest. https://t.co/cwFuCzYP4O",hate
29,"@SalmanNizami_ Rahul Gandhi - Maa what will I do next 4 years 🙃

Sonia Gandhi - Son has recharged TV and sit and watch Chhota Bheem.😂😂😂",defamation
30,"Theft record thief CCTV, were piled recovered all the gold coins
@capt_ivane @DelhiPolice
#Delhi
Https://tkco/CWo9EqedoG",non-hostile
31,This poor man prepares so much before appearing on TV,fake
32,"Now it seems impossible that any such person who has retired and no longer plays cricket, will come back for CSK. Maybe, he might go to the auction again and another team buys him '

#CSK #SureshRaina
https://t.co/1PZ3fkb8Cj",non-hostile
33,"New National Education Policy: Tamil Nadu government rejects three language policy, said - two languages ​​will be implemented

https://t.co/deEf7BQ4i3",non-hostile
34,"GST is the second major attack on India's unorganized economy: Rahul Gandhi
https://t.co/0CxyP0rMyU",non-hostile
35,Yogi Adityanath ji's result is the tireless hard work that Uttar Pradesh has left behind all irony and has started the path of all-round development. Jai Ho @myogiadityanath ji.,hate
36,@Real_Deepika_: Rahul Gandhi's befitting reply to the photo with Modi's peacock 😂🤣😂🤣 https://t.co/mb9bWDjbdP,defamation
37,"Nuisance in Bangalore for objectionable remarks on the Prophet Mohammed by the peace-loving

and #Hir_Khan who regularly abused Hindu deities.

Although Prayagaj remained peaceful .. !!",hate
38,"JEE: The first shift examination is over, the students who have left said - was afraid of Corona, but glad that we have one year left https://t.co/9wHy3UhO11 #JEEMain #JEE",non-hostile
39,"When developed countries around the world fell into disarray. The manner in which the state faced this difficult time during this period is commendable. Yogi ji's father also passed away but he continued to serve the people, showing his commitment to the people of the state.",offensive
40,"A meeting of office-bearers of Bhopal zone was held today under the chairmanship of the state president @PankajSinghAAP ji in which training was given and oximeters were distributed in connection with the ""Oxygen Testing Campaign"" starting from 1 September.
@ArvindKejriwal @AapKaGopalRai https://t.co/6MmRnlg7Dh",non-hostile
41,Stephen Begun said this at the 3rd India-US Leadership Summit organized through the India-India Strategic and Partnership Forum through virtual means.,non-hostile
42,"Is humanity dead?

https://t.co/zCq7knxxjc",non-hostile
43,"Congratulations Modi ji
your Mann Ki Baat has received a full 100 thousand dislikes 😂 https://t.co/BUEX28Lfpe",non-hostile
44,"@LambaAlka Kejriwal is a creation of the Sangh Sangh. The Sangh branch spreads terror as it spreads lies; it has taken education from childhood, it was correcting corona percent by donating plasma, it has all become official through corruption.","defamation, hate"
45,"The CBI is investigating 22 grams of hemp, the media is reporting it, so one hundred and fifty grams of ganja will be found after raiding the bungalow of Bihar Chief Minister Nitish Kumar.",defamation
46,"What are you saying, Sharma? 🙏🏼 https://t.co/OSfcYiR5Vq",non-hostile
47,"CBI's Special 6 team from Delhi to reveal the secret of Sushant Singh Rajput's suspected death will recite the crime scene at Sushant's house.
#SushantSinghRajput @ pramodsharma29

https://t.co/SIbE07nARS",non-hostile
48,"#Lucknow
CP Sujit Pandey will press conference, press conference will
be on important issues, press conference will
be in police line at 3 pm.
@lkopolice @LkoCp @Uppolice #Police #PoliceLivesMatter #PoliceBrutality #PoliceReform #policemedianews https://t.co/D9ZObVaNm0",non-hostile
49,The picture shows the blue print of Babri Hospital,fake
50,"Amrapali's list of 28 projects online, its investors or buyers find their name here
https://t.co/aHcisFPei8 via @NavbharatTimes
#Amrapali #Property https://t.co/7OsydqiXdE",non-hostile
51,"Plasma therapy of Delhi model showing the way to America has saved hundreds of lives in Delhi. This story of Paramjeet ji, conveying the message of humanity and brotherhood, will definitely inspire you.

#DonatePlasmaSaveLives https://t.co/FmCuQMN7Ix",non-hostile
52,"Recently, a Hindu woman was beaten up by RSS goons for feeding a Kashmiri Muslim girl. India is in the possession of RSS. He has complete control over media, law enforcement, judicial and national security. Will this country be stable if it continues like this?",fake
53,"Article 370 repealed to protect the unity, integrity and sovereignty of the country: Vice President @MVenkaiahNaidu

Description: https://t.co/622CJ2Wnoj",non-hostile
54,"#Bangled in #JNU after #Disrupted #Girls hostel #Scattered #Goods #Blessed are the students here.
Very sad to see the books of these people, everything is torn.","defamation, offensive"
55,"Sudeep Birthday: Kicha Sudeep came to the acting world after his engineering studies, know more interesting things
@KicchaSudeep
https://t.co/M19d7IVo8Q",non-hostile
56,"#TaalThokKe: Big evidence against Riya!

Tweet your opinion on #SushantKaSachKya
Watch LIVE - https://t.co/gfUtRWrNnZ https://t.co/CM6RAyayME",non-hostile
57,"Today, in a banquet hall, we started the 100-bed Corona Center. There is oxygen on every bed. Now in this way Karona centers will be built in many banquet halls all over Delhi.

#DelhiFightsCorona https://t.co/EUnpnPlB5q",non-hostile
58,"90% judge in India corrupt Justice Katju The entire system is corrupt and destroyed in India Justice needs justice from Justice Katju Court, foolish people do Justice Justice Katju from India Sentry to Minister corrupt Justice Katju needs revolution in the country",defamation
59,@KapilMishra_IND Where is this Sala ticket from Blackia?,offensive
60,"RT @ShilpiSinghINC: The media supporting Kangana is expected to oppose it when the JCB comes to demolish 48,000 slums!…",offensive
61,"When the Guru opposed the CAA from the stage of the CM of Karnataka BJP, then the
Chief Minister erupted. ""You must have never seen such respect
. If the journalists of Dalal Media do not run even once,
then the famous Guru Ji",offensive
62,"Sushant Singh Rajput's death in Bihar as election issue, BJP gave slogan, ""Neither forgotten, nor forgotten, let

@ kumarprakash4u report

https://t.co/HCp3i2VURp",non-hostile
63,Patients recovering from corona in Bengaluru suspected of re-infection https://t.co/eU5cqZqNUb,non-hostile
64,"#IndiaFightsCorona:

Spitting public places spreads the infection of #Covid19.

Spitting at public places is a punishable offense.

#StaySafe

@drharshvardhan @PrakashJavdekar @UNinHindi
@airnewsalerts @DDNewslive @PIBHindi @ndmaindia
@swachhbharat

Via @MoHFW_INDIA https://t.co/3gV6NBv2H6",non-hostile
65,"The luxurious furnishings and world-class interior design in this picture is not anyone's drawing room. It is a Boeing 777 VVIP aircraft bought for the Prime Minister of the country, with its attentiveness and elegance you can guess yourself. The servant and the watchman are used to saying how much luxury has become accustomed to living a full life and this aircraft equipped with world class facilities will come to India in the month of August or September, just then Modi ji's foreign tour is on.

2 Boeing VVIP aircraft equipped with all such modern facilities are being purchased, which is worth about 8458 crores!

Indians, you live in fakery and the watchman will live in astonishing truth, how much crocodile tears were shed before becoming Prime Minister, Modi saheb had made the whole nation in false dreams, sir, now look what was the reality misleading for what,

Wearing a suit of 10 lakhs describes himself as a fakir. Japan's food and drink users describe themselves as beggars. Wake up India.",fake
66,"@Lionsdenkxip players enjoying the private beach before IPL

https://t.co/WKmZJCuSpc

#KXIP # IPL2020 #IPLinUAE https://t.co/dXuLnXisgv",non-hostile
67,"The girl was studying in class 11, went to school to take practical examination, was returning from school after taking the exam, when a Muslim youth who was ambushed outside the school, whose age is being told is about 25 to 26 years, fast. Brought the sword from her, and struck the student's neck. The Muslim youth killed the Hindu girl Pooja, daughter Shankar Lal Kotma Anoopgarh Madhya Pradesh, because she had denied her so-called love jihadi love. Hindus are so helpless in this country. How safe are these jihadis in front of them. Blood opens my way",fake
68,"Kangana Ranaut has compared Mumbai to POK, will a case of sedition be filed against them now? Will Kangana go to jail?

Or will they be spared according to caste and religion?",defamation
69,"Is the Corona disaster responsible for the poor GDP figures in the first quarter of the current financial year?
#GDP #CoronaPandemic #IndianEconomy",non-hostile
70,"#Moradabad
hotel manager's case of suicide,
case filed on 4 people including wife, sister-in-law,
video was made while eating poison,
told to wife and family responsible for death, case has been filed in civil line police station. @moradabadpolice @digmoradabad @Uppolice #uppinnews #UPPolice #policemedianews",non-hostile
71,"If the distance of the shop is up to 2 km, then you have to go on foot.",fake
72,The Indian government is going to ban the use of urea in farms. Government will stop using urea in farming now,fake
73,"No matter how much you scream, Mahesh Bhatt
Tere Kukermo's punishment, your daughter has to be found as

much as you want to scream - Sushant's fans will be more relaxed, right now on the trailer, what will
happen on the release of Soch Soch movie @MaheshNBhatt

RT SSR Wals",fake
74,"RT @aadhiIa: Explosion of Uddhav Thackeray's BMC army into POK,

destroyed many bunkers of

terrorist organizations, including Sangh terrorists, the entire Lashkar-e-Noe…",hate
75,Big news of this time https://t.co/DCIpXa2DdA,non-hostile
76,"@sambitswaraj our ancestors ruled for 800 years. Saying

this, Abdul Pancher went away.",defamation
77,"Congressmen - Why do Rahul Gandhi lose to Modi on every issue?

Evening Pitroda - Happened!",hate
78,"What is your thinking about the increasing security of Corona and the festival on the other side, security? https://t.co/QXENYhLTau",non-hostile
79,"#Nonsense_Modi
Chandrayaan mission was about to be successful that Modi ji had got disturbed by going there due to which the months of hard work of scientists was wasted.","defamation, hate, offensive"
80,"Neither devotion nor reverence nor knowledge !!
EVENT, MANAGEMENT AND YOUR BAKHAN !!
@Narendramodi ji, who goes to temples wearing sandal shoes?",defamation
81,"As soon as the government should get the Pabji game done, this child is messing with life. Do let the next generation be alive",hate
82,"#IndianRailways has solarized more than 960 stations and placed

orders for 198 MW solar roof capacity for 550 stations which are under execution: https://t.co/H7UyoXSGMK

@RailMinIndia @PiyushGoyalOffc @PiyushGoyal",non-hostile
83,"@LambaAlka is not in Kashmir right now, it looks like this from the picture of the video, go to Ladakh after a little trouble, you will get complete information, you will know that you will get to see the real picture of traitors.",hate
84,"Every life is precious.
Oxygen testing of #AAP are all oxygen checks.
# 4September #MadhyaPradesh @ArvindKejriwal @AapKaGopalRai
@AnkushNarang_ @PankajSinghAAP https://t.co/PWWm3vvpOZ",non-hostile
85,"Delhi Chief Minister @ArvindKejriwal g per pop idols today slogans were in the World Cup match between India and Pakistan,
win * win brother win Kejriwal Kkk *
@ArvindKejriwal
@SanjayAzadSln",fake
86,"IT Minister Ravi Shankar Prasad wrote a letter to Mark Zuckerberg, saying - Facebook employees say abusive words to PM Modi https://t.co/lORjp2gOy3",non-hostile
87,"Companies withdrawing placement offers in the Korana round, students upset https://t.co/qRgKcLnkpl",non-hostile
88,"RT @_Pb_swain_: The last 6 years have proved that the Congress is not a political party ....
a hidden Islamic organization .... 👍","hate, offensive"
89,"Demolition of Kangana's wall is an attack on democracy ...

Hey Ku'atto
,
what democracy was secured by building a wall in front of the poor's house in Gujarat .",hate
90,"The High Court's decision in the Kafeel Khan case exposes the unjust face of the Yogi government. Read carefully, Yogi ji, the High Court said ""Kafeel Khan's speech appeals to national unity and integrity"" and Yogi ji declared Kafeel as a traitor. ""Embarrassing"" #drkafeelkhan https://t.co/nB9Jhlvm93",non-hostile
91,"The way for construction of Bihar's first expressway cleared,

forelane road from Aurangabad to Jayanagar will be built #Bihar #Expressway #Aurangabad

https://t.co/Gg9hxfpCnf",non-hostile
92,"Maharashtra tops the graph of #Corona infection in the country, IMA said- people fear and problem due to lack of hospital, medicine, testing and oxygen
https://t.co/AUNbJmwB2q",non-hostile
93,"It is a contagious disease that can happen to anyone, so we have to protect ourselves by being careful, cautious. May we adopt more

robust methods of infection prevention: ACS, Medicine and Health, Shri Amit Mohan Prasad @ShishirGoUP",non-hostile
94,"RT @_Pb_swain_: Today went to an electric shop and said ""Give me a Rahul"",

he immediately gave a tublight, nowadays it doesn't seem to be late…",defamation
95,"This picture touched Anand Mahindra's heart, he made a special request to Nitin Gadkari
https://t.co/5hYMCFz5Pe via @NavbharatTimes
#AnandMahindra #NitinGadkari https://t.co/nPeHIBtppR",non-hostile
96,"I talk about the farmers and many things can be said…

wait let me say brother",fake
97,"@boxervijender will not forget, brother, I used to be a staunch supporter of Modi, but these days Sala has become so engrossed that only Modi's name started being hated, mother swear",offensive
98,"BJP MLA Kuldeep Singh Sengar guilty of Unnao rape case got bail from High Court. Now the question arises that if the judge who gave bail, even if the victim was the daughter of that judge, would the judge give bail? Shame on such judges. He is not a judge but a wolf hidden in the guise of a judge.
@LambaAlka","defamation, hate, offensive"
99,@RajeshpandeyAm @amethipolice - Kindly for information and necessary action.,non-hostile
100,"The SIT will investigate the matter related to marriage or marriage by conversion.
#UttarPradesh #Kanpur

https://t.co/26r4SLvjrH",non-hostile
101,"Vice President @MVenkaiahNaidu expressed deep sorrow over the demise of #PranabMukherjee, saying he graced every position he held with dignity and grace.

With his death, India has lost an excellent leader

https://t.co/K5ivtqfe7M https://t.co/K6MXLfak6I",non-hostile
102,"@ harish3912 @RahulEaswar It Rahul God Creep when it seems to be leftists and rightist Ravi Srivastava has affected the Sumnt Raman
@ Ravi4354
@sumanthraman
🥄🌶️🖕
@ Akhiles33944034
@ Abssbal954
@VashishthaRadha
@ ManishSharmash9
@ayachit_kavita
@ Arunjoshi006
@ Madhu24250575
@ KennyTulsianil",offensive
103,"AAP demanded compensation of Rs 50,000 per hectare on the lines of Kejriwal government for crop failure in Seoni.
@ArvindKejriwal @AapKaGopalRai @PankajSinghAAP https://t.co/FKkRpuruLm",non-hostile
104,"Now the people of UP-Bihar should also be banished from Delhi: Ramesh Bidhuri
BJP MP Ramesh Bidhuri said that now people of UP-Bihar should also be banished from Delhi",fake
105,"This video is of the recently crashed Ethiopian Airlines. Boom discovered that the viral video is from 2013 and shows a Dubai cargo cargo plane crashed in Afghanistan, not the Ethiopian passenger plane that crashed recently. All 157 passengers aboard the plane were killed.

Video of recent Ethiopian Airlines crash",fake
106,"Justice Sushant not to be 'sponsored' interview
Tweet his opinion on #IAmSushant
https://t.co/IXQwI6IUdn
@aditi_tyagi @SachinArorra
@Shehzad_Ind @shwetasinghkirt @ishkarnBHANDARI @ Swamy39 @kanganaranut @ anky1912
@ shekharsuman

: https: // t.co/IXQwI6IUdn https://t.co/E8S4H0paKa",non-hostile
107,"The son of Bhaijaan is ...
washing the fruits from the drain water and saving clean water.
Hindus, buy fruits from this great patriotic environment lover during Navratri fast.
Jai Mata Di !!!!!!!!",fake
108,"RT @ WasiuddinSiddi1: ""An anchor comes and says that a particular community is infiltrating the UPSC. Is there anything more deadly than this? Such…",offensive
109,"I am with privatization ...

because 90% Govt in India. Employees take a salary for not working, and bribe to work!",offensive
110,"Mehul Choksi and Rana Kapoor gave money to #RajivGandhiFoundation; Jinesh Shah also gave Rs 50 lakhs to the foundation: BJP

FULL PRESS CONFERENCE: https://t.co/6HNzre8Q3z https://t.co/T5zZ0Q1sSf",non-hostile
111,"In the Mahabharata era, the Pandavas built this tunnel in Bihar, today the locals do farming there

#Mahabharat #Bihar

https://t.co/DVTH8tvQ3u",non-hostile
112,"#PolticsDinbhar
- Greetings of Shaurya
- PM Modi on tour to Tamil Nadu today
- rebels return to the state BJP! https://t.co/MVupTqjtnl",non-hostile
113,Honorable Rajya Sabha MP Shri Ranjan Gogoi ji received news of corona getting infected. I pray to the world creator Lord Shri Ram for his health benefits.,fake
114,"For the second time in 24 hours, the infection crosses 90 thousand
#ZeeJankariOnCorona @reporter_pooja https://t.co/knDsEbafdj",non-hostile
115,"Peaceful Protest, really? Say it is also the case of Delhi Police.",fake
116,"46 additional local trains will run in Mumbai to facilitate the students during NEET-JEE examinations
https://t.co/vpyDxkPQPk",non-hostile
117,"PM Modi shared this picture, paid tribute to Pranab Mukherjee ...

News: - https://t.co/NoJ7uQ7NDQ https://t.co/FmKxoiEVKC",non-hostile
118,"#AAP's oximeter campaign continues in various states of the country ...

#AAPKeOxiMitra https://t.co/3mC0UrSJoJ",non-hostile
119,"Former President Pranab Mukherjee merged with five state honors at the Lodhi Road Crematorium in Delhi
https://t.co/4dA67gihQw",non-hostile
120,"Drunk, fake nationalists, Kejriwal is of no use. Be careful while voting in the future, Delhi 'The

video showing Delhi Chief Minister Arvind Kejriwal being drunk and stuttering while recording a Facebook live video is fake.",fake
121,"The six accused associated with #ISIS confessed their crime in front of a court of #Delhi.

https://t.co/Mbxifb45EU",non-hostile
122,"# RealmeX7 and # realmex7pro launches, 4 cameras will be setup in the rear for photography
# Realme7Series
https://t.co/pKzSxcXXe2",non-hostile
123,"Bollywood actress Kangana Ranaut gets security of 'Y' category by Union Home Ministry
@KanganaTeam #KanganaRanaut
https://t.co/B6pkX9J2e8",non-hostile
124,The District Fisheries Department will organize a one-day seminar on saltwater white shrimp fisheries in village Thuiyan of Bhattu section on September 2 (Wednesday) at 10:30 am. The Deputy Commissioner of the program will be Dr. Narhari Singh Bangar. @cmohry @DiprHaryana @DFatehabad @DDNewsHisar,non-hostile
125,Mann Ki Baat said in the radio address that one crore Kovid-19 patients have been treated for free.,fake
126,"Bihar: Police

report lathi charge @ kumarprakash4u on guest professors performing similar work, demanding equal pay

https://t.co/lSuKAkMxYp",non-hostile
127,"The gathering of such a large number of people outside Jama Masjid in Bandra is a matter of concern. Who called them? If these people came to catch the train to go back home, then why did they not have luggage in their hands?",fake
128,"With the coming of the day of assembly elections in Bihar, there is a stir in the Rims and Kelly bungalows of Ranchi. #Bihar #LaluYadav # biharelection2020 | @satyajeetAT https://t.co/j2IS14DDWt",non-hostile
129,"What are the precautions to be followed in Unlock-4?

#IndiaFightsCorona # COVID19
@PIB_India @PrakashJavdekar @shashidigital https://t.co/YUaelPQlg9",non-hostile
130,Doctor Manisha Patil died after treating 188 corona patients in Mumbai. She could not save herself,fake
131,"JEE exams begin today: Students arrive at the center wearing masks and gloves, circles are made for social distancing; Someone traveled 100 km by bike https://t.co/uPiNugwu78 #JEEMain #SocialDistancing @EduMinOfIndia @DrRPNishank",non-hostile
132,"Fufa, murder of cousin: @ImRaina asked @capt_amarinder of Punjab - who are the killers?
https://t.co/5bndT1YOCU

#SureshRaina # Sureshraina3 #suresh raina https://t.co/XRBiB1VpEB",non-hostile
133,Some IT Cell people from yesterday have come out against Yogi ji. You have to think about who you are with in the field.,"defamation, offensive"
134,"Another big step by @newsvishvas against lies. Join our WhatsApp chatbats to fight against Fake News and we will tell you the whole

truth - https://t.co/1obLoyZiH1 #FactCheck #News https://t.co/YHSjjckKVG",non-hostile
135,"#Sitapur AAP MP @SanjayAzadSln was stopped by police in #Sitapur, heavy police force present in Sitapur, returning to Lucknow from Kheri Sanjay Singh, went to mourn the murder of former MLA, stopped by ASP Sitapur MP Singh. @sitapurpolice
@Uppolice #UPPolice
#uppinnews #policemedianews",non-hostile
136,"#BreakingNews: PM Modi is addressing the nation on the new National Education Policy

LIVE- https://t.co/smwhXUzF4C https://t.co/5KG02TLVmA",non-hostile
137,@kajal_jaihind This is the same bastard who once blacked out picture tickets outside the theater.,"defamation, fake, offensive"
138,"Article battle of 370 chanted support Pakistan Farooq Abdullah: puppet of someone's hands

#JammuKashmir # Article370 #Pakistan #FarooqAbdullah # Jammu # Article 370 # Pakistan # Farukabdulla

https://t.co/0Z2h3HEPxD",non-hostile
139,"#

Thousands of years old Shivling found in Sahupad village near Kanas, 40Km from Puri Jagannath Dham, became a matter of curiosity.

A farmer who plowed a field has discovered ... May be this place of worship thousands of years ago. Have also been",fake
140,Monsoon Session of Parliament from 14th September; Large scale preparations in view of epidemic https://t.co/pgWQLMF19n,non-hostile
141,"FTSE 100: Apple leads, total market cap of entire stock exchange is less than this!
https://t.co/unm6nMfCSm via @NavbharatTimes
# FTSE100 #Apple #MarketCap https://t.co/zdLZnN6aV1",non-hostile
142,"Soon ""Sahibji"" game will come in place of ""Pabji ji"", only ""blind devotees"" will be able to play it",offensive
143,"This is the beauty of our country…

On the other hand, Panditji of Banaras is giving gold bricks for the construction of the mosque and here Abdul was plotting to blow the temple with bombs.",hate
144,Honda is offering 300 Activa 5G scooters for free on the occasion of Diwali.,fake
145,"Corona's shadow on historic Ramlila, two hundred years old tradition will break!

#Varanasi #Ramlila

https://t.co/YGrEEmpR7l",non-hostile
146,"If the government bans more than five people to offer prayers in the mosque, then people are ready to give up their lives.",fake
147,"#Apple can make a big announcement tomorrow, will # ipadAir4 launch?

https://t.co/2HH3vM39Ya",non-hostile
148,"This decision will provide a big opportunity to the Indian defense industry to manufacture weapons to meet the requirements of the armed forces by using their own design and development capabilities or by adopting techniques developed by DRDO.
# Atmnirbrbartabian
@narendramodi
@rajnathsingh",non-hostile
149,"The luxurious furnishings and world-class interior design in this picture is not anyone's drawing room. It is a Boeing 777 VVIP aircraft purchased for the #PM of the country. What a luxury to call yourself a public servant and a watchman. Has become accustomed
@JyotiM_Dr",fake
150,"# If questions cannot be asked in Parliament, then what are the roads for? Surround

every # leader and officer of
#Government at the crossroads and ask questions !!",hate
151,"Mob lynching incident in front of the
police , the police did not even take the crook to the hospital , police
appeared helpless in front of angry villagers
, double murder in Rampur Bangra of Taraya Sujan. @kushinagarpol @Uppolice #policemedianews",non-hostile
152,2 forms of Madhya Pradesh Chief Minister @ChouhanShivraj ji ... https://t.co/YXxKQfR7QP,non-hostile
153,"@narendramodi 5 million crores was given to Jio Airtel by damaging the state government company BSNL, if 6 years ago, BSNL would have got 4G, it would have been five lakh crores in the coffers of India. Who would have recognized the traitor of the country who had fallen into corruption",hate
154,@threadreaderapp @ anuragkashyap72 @anikspeaks brother-in-law Giani Baba should go to jail and his support should be reduced to taking drugs,offensive
155,"A high-speed car entered the Janata Cafe at Crawford Market in South Mumbai. Late night an over speed car became uncontrolled and crashed into the public café on the roadside. Four people are reported to have been killed in this accident so far.
https://t.co/INyEHl7GJQ",non-hostile
156,"Sarang has written to Union Information and Broadcasting Minister Prakash Javadekar expressing concern over the news of 'drug parties' involving film stars.
#HindiNews
https://t.co/HONClq5PDg",non-hostile
157,Indian troops stationed at Siachen Glacier | The temperature here is minus 50 degrees Celsius.,fake
158,"✍️kuc poetry our Pappu names

to win difficult futures have plunged almost float
, the Congress of hand clapping for Pappu beat

# Modi_ha_to_mumkin_ha

@cls_delhi

@sumit__hindu

@ Keshu_777",defamation
159,"The untold things
about the life of former President Pranab Mukherjee #PranabMukherjee
https://t.co/VasV8WlWww",non-hostile
160,"@ArvindKejriwal What the farmer of the country wants, these farmers themselves know that a
lowly Kamina like you who can eat the Delhi riots and slaps in the greed of Sata is good only if he does not talk about the farmer, then
AAP opposes every government bill is
370,
3 divorce
CAA
has Yanha to the temple's decision Court does too",hate
161,"Corona infection figures have crossed 42 lakhs in the country, you will be surprised to know the statistics of new cases
@ bramhprakash7 #ZeeJankariOnCorona
https://t.co/eh5R7yVAoM",non-hostile
162,"@Live_Hindustan Sahi is speaking alia tharki hawasi the
world knows about your father","hate, offensive"
163,"The social platform through which the BJP came to power and publicized the lies, nowadays, on that platform, Sahib is getting dislike in bulk.

The owner turns time",hate
164,"... While Hamirpur has the lowest positives of 1.3 percent, Sambhal 1.2 percent, Hathras 01 percent, Baghpat 0.7 percent, and Mahoba 0.8 percent: ACS, Medicine and Health, Mr. Amit Mohan Prasad ji",non-hostile
165,"The coming breeds will take pride in you.
Whenever they come to mind, you have seen 'Firaq'.

Born in Gorakhpur, English, Urdu, Persian scholar, Raghupati Sahai 'Firaq Gorakhpuri' was a great poet of Urdu.

On the occasion of his birthday, I pay him a humble tribute.",non-hostile
166,"Journalism world benefits from Arnab Goswami as much as Muslims do from Mukhtar Abbas Naqvi.

#ArrestAntiIndiaArnab","hate, offensive"
167,"This is Moinuddin of Kerala. He joined JNU in 1989. If from year to year he enrolled in BA, MA, MPhil and Phir PhD, he should have left JNU in 2001 and started working.",fake
168,"#RajasthanRoyals gave a funny reply to a fan when he asked Butler for #RCB
https://t.co/fYRZutkyC0",non-hostile
169,Is that why #Delhigenocide #DelhiPolice nd 4wks? Somebody think that the Delhi Police is doing its job .. so that they can clear their misconceptions by watching this video ..... @ IndiaToday @TimesNow Question the ones who r 2b questioned. Media do your job. @RahulGandhi @priyankagandhi.,fake
